Time(year-month-day h:m:s);Total solar irradiance (W/m2);Direct normal irradiance (W/m2);Global horizontal irradiance (W/m2);Air temperature  (°C) ;Atmosphere (hpa);Relative humidity (%);Power (MW);;
2019-01-01 00:00:00;0,00 ;0,00 ;0,00 ;11,90 ;837,20 ;53,06 ;0,00 ;;
2019-01-01 00:15:00;0,00 ;0,00 ;0,00 ;11,60 ;837,25 ;54,76 ;0,00 ;;
2019-01-01 00:30:00;0,00 ;0,00 ;0,00 ;11,36 ;837,21 ;57,16 ;0,00 ;;
2019-01-01 00:45:00;0,00 ;0,00 ;0,00 ;11,31 ;837,20 ;58,73 ;0,00 ;;
2019-01-01 01:00:00;0,00 ;0,00 ;0,00 ;11,26 ;837,09 ;59,93 ;0,00 ;;
2019-01-01 01:15:00;0,00 ;0,00 ;0,00 ;10,93 ;836,95 ;62,11 ;0,00 ;;
2019-01-01 01:30:00;0,00 ;0,00 ;0,00 ;10,90 ;836,81 ;62,21 ;0,00 ;;
2019-01-01 01:45:00;0,00 ;0,00 ;0,00 ;10,46 ;836,80 ;63,98 ;0,00 ;;
2019-01-01 02:00:00;0,00 ;0,00 ;0,00 ;10,03 ;836,73 ;65,18 ;0,00 ;;
2019-01-01 02:15:00;0,00 ;0,00 ;0,00 ;10,16 ;836,85 ;66,08 ;0,00 ;;
2019-01-01 02:30:00;0,00 ;0,00 ;0,00 ;10,58 ;836,92 ;66,27 ;0,00 ;;
2019-01-01 02:45:00;0,00 ;0,00 ;0,00 ;10,39 ;837,00 ;67,61 ;0,00 ;;
2019-01-01 03:00:00;0,00 ;0,00 ;0,00 ;10,17 ;837,00 ;68,11 ;0,00 ;;
2019-01-01 03:15:00;0,00 ;0,00 ;0,00 ;9,40 ;837,00 ;71,15 ;0,00 ;;
2019-01-01 03:30:00;0,00 ;0,00 ;0,00 ;9,11 ;837,02 ;71,42 ;0,00 ;;
2019-01-01 03:45:00;0,00 ;0,00 ;0,00 ;9,07 ;837,10 ;72,07 ;0,00 ;;
2019-01-01 04:00:00;0,00 ;0,00 ;0,00 ;9,61 ;837,01 ;72,11 ;0,00 ;;
2019-01-01 04:15:00;0,00 ;0,00 ;0,00 ;9,34 ;837,00 ;72,48 ;0,00 ;;
2019-01-01 04:30:00;0,00 ;0,00 ;0,00 ;8,95 ;836,89 ;73,79 ;0,00 ;;
2019-01-01 04:45:00;0,00 ;0,00 ;0,00 ;9,25 ;836,85 ;73,49 ;0,00 ;;
2019-01-01 05:00:00;0,00 ;0,00 ;0,00 ;9,85 ;836,73 ;71,25 ;0,00 ;;
2019-01-01 05:15:00;0,00 ;0,00 ;0,00 ;9,72 ;836,65 ;71,37 ;0,00 ;;
2019-01-01 05:30:00;0,00 ;0,00 ;0,00 ;9,32 ;836,51 ;72,97 ;0,00 ;;
2019-01-01 05:45:00;0,00 ;0,00 ;0,00 ;9,17 ;836,55 ;74,47 ;0,00 ;;
2019-01-01 06:00:00;0,00 ;0,00 ;0,00 ;9,03 ;836,53 ;74,83 ;0,00 ;;
2019-01-01 06:15:00;0,00 ;0,00 ;0,00 ;8,81 ;836,71 ;76,60 ;0,00 ;;
2019-01-01 06:30:00;0,00 ;0,00 ;0,00 ;8,81 ;836,82 ;76,83 ;0,00 ;;
2019-01-01 06:45:00;0,00 ;0,00 ;0,00 ;8,57 ;836,95 ;78,03 ;0,00 ;;
2019-01-01 07:00:00;0,00 ;0,00 ;0,00 ;8,18 ;837,11 ;79,35 ;0,00 ;;
2019-01-01 07:15:00;0,00 ;0,00 ;0,00 ;8,36 ;837,36 ;79,87 ;0,00 ;;
2019-01-01 07:30:00;0,00 ;0,00 ;0,00 ;8,71 ;837,67 ;79,99 ;0,00 ;;
2019-01-01 07:45:00;0,00 ;0,00 ;0,00 ;9,27 ;837,75 ;78,73 ;0,00 ;;
2019-01-01 08:00:00;0,00 ;0,00 ;0,00 ;9,07 ;837,99 ;79,55 ;0,00 ;;
2019-01-01 08:15:00;3,93 ;0,87 ;1,07 ;9,05 ;838,15 ;80,21 ;0,06 ;;
2019-01-01 08:30:00;50,27 ;14,40 ;17,27 ;9,16 ;838,39 ;80,13 ;0,77 ;;
2019-01-01 08:45:00;183,13 ;111,47 ;54,00 ;9,61 ;838,55 ;78,94 ;2,59 ;;
2019-01-01 09:00:00;288,13 ;7,67 ;100,60 ;10,31 ;838,67 ;76,34 ;4,80 ;;
2019-01-01 09:15:00;392,20 ;0,00 ;157,60 ;10,87 ;838,60 ;73,27 ;7,21 ;;
2019-01-01 09:30:00;476,33 ;239,73 ;133,13 ;10,80 ;838,69 ;72,87 ;9,61 ;;
2019-01-01 09:45:00;542,33 ;283,20 ;162,87 ;10,88 ;838,75 ;73,21 ;11,85 ;;
2019-01-01 10:00:00;598,00 ;423,20 ;143,47 ;11,47 ;838,84 ;70,81 ;13,95 ;;
2019-01-01 10:15:00;651,47 ;750,33 ;55,27 ;11,43 ;838,95 ;71,33 ;16,00 ;;
2019-01-01 10:30:00;701,60 ;801,73 ;64,87 ;11,65 ;839,01 ;69,92 ;17,81 ;;
2019-01-01 10:45:00;755,60 ;843,27 ;73,73 ;12,25 ;839,10 ;67,02 ;19,52 ;;
2019-01-01 11:00:00;821,27 ;875,93 ;82,13 ;12,39 ;838,91 ;66,18 ;21,06 ;;
2019-01-01 11:15:00;878,60 ;891,73 ;88,53 ;12,56 ;838,75 ;65,04 ;22,29 ;;
2019-01-01 11:30:00;922,87 ;902,20 ;94,27 ;12,79 ;838,59 ;64,25 ;23,36 ;;
2019-01-01 11:45:00;955,87 ;905,20 ;98,60 ;12,97 ;838,50 ;63,92 ;24,35 ;;
2019-01-01 12:00:00;985,40 ;908,20 ;102,47 ;13,33 ;838,11 ;62,35 ;25,20 ;;
2019-01-01 12:15:00;1012,47 ;908,00 ;105,53 ;13,61 ;837,74 ;61,16 ;25,93 ;;
2019-01-01 12:30:00;1038,73 ;910,47 ;108,20 ;14,09 ;837,45 ;59,23 ;26,58 ;;
2019-01-01 12:45:00;1052,40 ;910,40 ;109,93 ;14,31 ;837,04 ;57,89 ;27,07 ;;
2019-01-01 13:00:00;1063,07 ;912,27 ;111,47 ;15,15 ;836,60 ;54,91 ;27,35 ;;
2019-01-01 13:15:00;1069,40 ;925,67 ;113,67 ;15,41 ;836,29 ;52,72 ;27,47 ;;
2019-01-01 13:30:00;1083,93 ;1017,53 ;124,93 ;15,88 ;835,92 ;49,68 ;27,42 ;;
2019-01-01 13:45:00;1096,07 ;934,33 ;114,00 ;16,07 ;835,64 ;48,31 ;27,25 ;;
2019-01-01 14:00:00;1108,00 ;926,00 ;111,80 ;16,71 ;835,27 ;44,55 ;27,24 ;;
2019-01-01 14:15:00;1088,60 ;919,07 ;109,00 ;16,76 ;834,89 ;42,44 ;26,75 ;;
2019-01-01 14:30:00;1066,13 ;924,87 ;107,20 ;17,04 ;834,65 ;39,85 ;26,23 ;;
